연도,행정구역(동),1㎡당 가격
2011,개포동,1452.8315
2011,논현동,743.0493
2011,대치동,1137.7298
2011,도곡동,1041.1228
2011,삼성동,949.0061
2011,세곡동,573.4643
2011,수서동,867.7792
2011,신사동,752.4678
2011,압구정동,1348.1215
2011,역삼동,844.8158
2011,일원동,920.9016
2011,청담동,915.3665
2012,개포동,1268.8344
2012,논현동,717.9542
2012,대치동,1030.8953
2012,도곡동,995.7634
2012,삼성동,1003.4913
2012,세곡동,621.8695
2012,수서동,803.313
2012,신사동,673.6611
2012,압구정동,1133.3896
2012,역삼동,897.1739
2012,일원동,831.8007
2012,청담동,941.2884
2013,개포동,1237.5786
2013,논현동,770.3461
2013,대치동,1002.5583
2013,도곡동,962.6177
2013,삼성동,1010.8966
2013,세곡동,675.8958
2013,수서동,812.69
2013,신사동,732.0046
2013,압구정동,1152.9022
2013,역삼동,957.2037
2013,일원동,834.3808
2013,청담동,944.8539
2014,개포동,1192.492635
2014,논현동,820.0230209
2014,대치동,1093.426659
2014,도곡동,1016.031144
2014,삼성동,1027.020678
2014,세곡동,666.9342983
2014,수서동,820.8171685
2014,신사동,777.3883111
2014,압구정동,1242.033307
2014,역삼동,929.0152767
2014,일원동,883.7783046
2014,청담동,988.9078226
2015,개포동,1335.677249
2015,논현동,842.7942609
2015,대치동,1175.172687
2015,도곡동,1080.918475
2015,삼성동,1116.20038
2015,세곡동,705.7092407
2015,수서동,916.8994261
2015,신사동,805.0897816
2015,압구정동,1385.881117
2015,역삼동,949.7235556
2015,일원동,978.2636236
2015,청담동,1047.97804
2016,개포동,1566.709622
2016,논현동,913.9793239
2016,대치동,1348.570309
2016,도곡동,1156.743578
2016,삼성동,1231.849654
2016,세곡동,935.5403003
2016,수서동,1070.196872
2016,신사동,928.9979574
2016,압구정동,1497.004551
2016,역삼동,1052.792346
2016,일원동,1054.156682
2016,청담동,1172.653099
2017,개포동,1782.717722
2017,논현동,1017.393762
2017,대치동,1574.131396
2017,도곡동,1259.960196
2017,삼성동,1364.306436
2017,세곡동,1031.26726
2017,수서동,1246.079871
2017,신사동,989.5597325
2017,압구정동,1841.267716
2017,역삼동,1195.066737
2017,일원동,1257.433612
2017,청담동,1302.546168
2018,개포동,"2,053"
2018,논현동,"1,155"
2018,대치동,"1,909"
2018,도곡동,"1,423"
2018,삼성동,"1,689"
2018,세곡동,"1,259"
2018,수서동,"1,623"
2018,신사동,"1,071"
2018,압구정동,"2,211"
2018,역삼동,"1,360"
2018,일원동,"1,598"
2018,청담동,"1,590"
2019,개포동,"2,609"
2019,논현동,"1,316"
2019,대치동,"2,222"
2019,도곡동,"1,673"
2019,삼성동,"1,893"
2019,수서동,"1,754"
2019,신사동,"1,197"
2019,압구정동,"2,282"
2019,역삼동,"1,829"
2019,일원동,"1,798"
2019,청담동,"1,774"
2019,세곡동,"1,371"
2020,개포동,"2,523"
2020,논현동,"1,509"
2020,대치동,"2,401"
2020,도곡동,"1,939"
2020,삼성동,"1,850"
2020,수서동,"2,035"
2020,신사동,"1,326"
2020,압구정동,"2,508"
2020,역삼동,"1,840"
2020,일원동,"2,106"
2020,청담동,"1,848"
2020,세곡동,"2,032"
