연도,행정구역(동),1㎡당 가격
2011,개포동,1452.8315 
2011,논현동,743.0493 
2011,대치동,1137.7298 
2011,도곡동,1041.1228 
2011,삼성동,949.0061 
2011,세곡동,573.4643 
2011,수서동,867.7792 
2011,신사동,752.4678 
2011,압구정동,1348.1215 
2011,역삼동,844.8158 
2011,일원동,920.9016 
2011,청담동,915.3665 
2012,개포동,1268.8344 
2012,논현동,717.9542 
2012,대치동,1030.8953 
2012,도곡동,995.7634 
2012,삼성동,1003.4913 
2012,세곡동,621.8695 
2012,수서동,803.3130 
2012,신사동,673.6611 
2012,압구정동,1133.3896 
2012,역삼동,897.1739 
2012,일원동,831.8007 
2012,청담동,941.2884 
2013,개포동,1237.5786 
2013,논현동,770.3461 
2013,대치동,1002.5583 
2013,도곡동,962.6177 
2013,삼성동,1010.8966 
2013,세곡동,675.8958 
2013,수서동,812.6900 
2013,신사동,732.0046 
2013,압구정동,1152.9022 
2013,역삼동,957.2037 
2013,일원동,834.3808 
2013,청담동,944.8539 
2014,개포동,1192.4926 
2014,논현동,820.0230 
2014,대치동,1093.4267 
2014,도곡동,1016.0311 
2014,삼성동,1027.0207 
2014,세곡동,666.9343 
2014,수서동,820.8172 
2014,신사동,777.3883 
2014,압구정동,1242.0333 
2014,역삼동,929.0153 
2014,일원동,883.7783 
2014,청담동,988.9078 
2015,개포동,1335.6772 
2015,논현동,842.7943 
2015,대치동,1175.1727 
2015,도곡동,1080.9185 
2015,삼성동,1116.2004 
2015,세곡동,1785.1030 
2015,수서동,916.8994 
2015,신사동,805.0898 
2015,압구정동,1385.8811 
2015,역삼동,949.7236 
2015,일원동,978.2636 
2015,청담동,1047.9780 
2016,개포동,1566.7096 
2016,논현동,913.9793 
2016,대치동,1348.5703 
2016,도곡동,1156.7436 
2016,삼성동,1231.8497 
2016,세곡동,935.5403 
2016,수서동,1070.1969 
2016,신사동,928.9980 
2016,압구정동,1497.0046 
2016,역삼동,1052.7923 
2016,일원동,1054.1567 
2016,청담동,1172.6531 
2017,개포동,1782.7177 
2017,논현동,1017.3938 
2017,대치동,1574.1314 
2017,도곡동,1259.9602 
2017,삼성동,1364.3064 
2017,세곡동,1031.2673 
2017,수서동,1246.0799 
2017,신사동,989.5597 
2017,압구정동,1841.2677 
2017,역삼동,1195.0667 
2017,일원동,1257.4336 
2017,청담동,1302.5462 
2018,개포동,2053.0000 
2018,논현동,1155.0000 
2018,대치동,1909.0000 
2018,도곡동,1423.0000 
2018,삼성동,1689.0000 
2018,세곡동,1259.0000 
2018,수서동,1623.0000 
2018,신사동,1071.0000 
2018,압구정동,2211.0000 
2018,역삼동,1360.0000 
2018,일원동,1598.0000 
2018,청담동,1590.0000 
2019,개포동,2609.0000 
2019,논현동,1316.0000 
2019,대치동,2222.0000 
2019,도곡동,1673.0000 
2019,삼성동,1893.0000 
2019,수서동,1754.0000 
2019,신사동,1197.0000 
2019,압구정동,2282.0000 
2019,역삼동,1829.0000 
2019,일원동,1798.0000 
2019,청담동,1774.0000 
2019,세곡동,1371.0000 
2020,개포동,2523.0000 
2020,논현동,1509.0000 
2020,대치동,2401.0000 
2020,도곡동,1939.0000 
2020,삼성동,1850.0000 
2020,수서동,2035.0000 
2020,신사동,1326.0000 
2020,압구정동,2508.0000 
2020,역삼동,1840.0000 
2020,일원동,2106.0000 
2020,청담동,1848.0000 
2020,세곡동,2032.0000 
